38,0,3,[ 393 - 409 - 207 ]
62,0,33,[ 217 - 212 - 243 - 267 - 287 - 280 - 307 - 681 - 372 - 385 - 393 - 746 - 409 - 412 - 426 - 431 - 424 - 437 - 448 - 441 - 474 - 140 - 153 - 164 - 189 - 183 - 198 - 210 - 207 - 214 - 222 - 219 - 235 ]
90,0,56,[ 696 - 1057 - 385 - 393 - 746 - 409 - 412 - 426 - 431 - 424 - 758 - 762 - 765 - 437 - 768 - 448 - 441 - 785 - 1171 - 474 - 485 - 820 - 506 - 502 - 501 - 140 - 832 - 512 - 530 - 153 - 164 - 532 - 537 - 554 - 189 - 881 - 183 - 198 - 210 - 207 - 214 - 930 - 222 - 235 - 217 - 212 - 243 - 607 - 612 - 287 - 280 - 307 - 660 - 1037 - 682 - 681 ]
120,0,79,[ 485 - 811 - 820 - 828 - 506 - 502 - 501 - 140 - 832 - 512 - 521 - 530 - 855 - 854 - 153 - 845 - 164 - 532 - 537 - 559 - 189 - 554 - 183 - 881 - 901 - 893 - 210 - 917 - 207 - 214 - 930 - 235 - 217 - 212 - 243 - 607 - 958 - 612 - 957 - 287 - 280 - 995 - 307 - 660 - 1358 - 1033 - 1037 - 682 - 681 - 1047 - 702 - 1049 - 1069 - 696 - 1057 - 385 - 1084 - 1089 - 393 - 1099 - 1423 - 1118 - 746 - 409 - 412 - 426 - 431 - 424 - 758 - 762 - 1454 - 437 - 765 - 448 - 441 - 1144 - 785 - 1171 - 474 ]
150,0,100,[ 958 - 612 - 957 - 1304 - 287 - 280 - 995 - 307 - 1346 - 660 - 1345 - 1358 - 1356 - 1033 - 1037 - 1382 - 682 - 681 - 1047 - 702 - 1394 - 1049 - 1069 - 696 - 1057 - 385 - 1719 - 1084 - 1089 - 1099 - 1423 - 1118 - 746 - 409 - 412 - 426 - 1450 - 431 - 1446 - 424 - 758 - 1457 - 762 - 1454 - 1459 - 765 - 437 - 1469 - 448 - 441 - 1144 - 1472 - 785 - 1171 - 474 - 485 - 811 - 820 - 828 - 506 - 1196 - 1185 - 502 - 140 - 832 - 512 - 521 - 147 - 530 - 1218 - 855 - 153 - 164 - 532 - 1223 - 537 - 1224 - 180 - 559 - 554 - 189 - 881 - 183 - 1239 - 1565 - 193 - 901 - 210 - 917 - 207 - 214 - 930 - 1288 - 235 - 1274 - 217 - 1283 - 212 - 243 - 607 ]
180,0,121,[ 1502 - 485 - 811 - 115 - 820 - 828 - 1196 - 502 - 1185 - 516 - 1521 - 140 - 832 - 1516 - 512 - 521 - 147 - 530 - 1218 - 855 - 153 - 164 - 532 - 1223 - 1537 - 537 - 1224 - 180 - 559 - 189 - 554 - 183 - 881 - 1569 - 193 - 1570 - 901 - 1584 - 1268 - 210 - 1581 - 917 - 207 - 1595 - 214 - 930 - 936 - 1288 - 1599 - 235 - 1603 - 1274 - 217 - 1283 - 212 - 1621 - 243 - 607 - 1292 - 1917 - 1614 - 958 - 612 - 957 - 1304 - 1633 - 1647 - 287 - 280 - 995 - 307 - 1346 - 660 - 1345 - 1358 - 1356 - 1983 - 1033 - 1037 - 684 - 682 - 1382 - 681 - 1047 - 702 - 1049 - 1394 - 1069 - 696 - 385 - 1719 - 1084 - 1089 - 1099 - 1423 - 1118 - 746 - 409 - 412 - 426 - 431 - 424 - 1446 - 762 - 1457 - 1454 - 1459 - 1770 - 1761 - 765 - 437 - 1469 - 448 - 441 - 1144 - 1472 - 1786 - 785 - 1793 - 1171 - 474 ]
210,0,140,[ 485 - 1502 - 1175 - 115 - 820 - 828 - 1196 - 1809 - 1185 - 502 - 516 - 1521 - 140 - 832 - 1516 - 512 - 2121 - 521 - 147 - 530 - 1218 - 855 - 153 - 1839 - 164 - 532 - 1223 - 1537 - 537 - 1224 - 2145 - 888 - 180 - 559 - 554 - 189 - 183 - 881 - 1569 - 193 - 1877 - 1873 - 1570 - 901 - 209 - 1584 - 1887 - 1268 - 210 - 1581 - 917 - 1889 - 2175 - 1595 - 214 - 930 - 936 - 1288 - 1599 - 235 - 1274 - 1603 - 217 - 1912 - 1283 - 212 - 1621 - 243 - 607 - 1292 - 1917 - 1614 - 958 - 612 - 957 - 1304 - 1633 - 287 - 301 - 280 - 995 - 307 - 1346 - 660 - 1963 - 1345 - 1356 - 1358 - 1680 - 1983 - 1033 - 1037 - 684 - 1382 - 682 - 1993 - 681 - 1047 - 702 - 1394 - 1049 - 1069 - 696 - 1076 - 385 - 1719 - 1084 - 1089 - 1099 - 1423 - 1118 - 746 - 409 - 2300 - 412 - 426 - 1450 - 431 - 1446 - 424 - 758 - 1457 - 762 - 2051 - 1454 - 1459 - 1770 - 1761 - 765 - 437 - 1469 - 448 - 441 - 1144 - 1472 - 1786 - 785 - 1793 - 1171 - 474 ]
240,0,166,[ 1569 - 193 - 1877 - 1873 - 1570 - 901 - 209 - 580 - 1584 - 1887 - 1268 - 210 - 2164 - 1581 - 917 - 1889 - 2166 - 2175 - 1595 - 214 - 930 - 936 - 1288 - 1599 - 235 - 1603 - 1274 - 217 - 1283 - 1912 - 2180 - 1621 - 243 - 607 - 1292 - 1917 - 1614 - 958 - 612 - 957 - 2203 - 1304 - 1633 - 287 - 301 - 2226 - 280 - 2224 - 2205 - 995 - 2230 - 2228 - 307 - 2242 - 1346 - 660 - 1963 - 1345 - 1358 - 1356 - 2244 - 1680 - 1983 - 1033 - 1037 - 2246 - 684 - 2265 - 682 - 1382 - 1993 - 681 - 1047 - 2007 - 702 - 1049 - 1394 - 1069 - 696 - 1076 - 2016 - 2277 - 2285 - 1719 - 1084 - 1089 - 1099 - 2295 - 2291 - 1423 - 2290 - 1118 - 2547 - 746 - 409 - 2300 - 412 - 426 - 1450 - 431 - 424 - 758 - 762 - 1457 - 2051 - 1454 - 1459 - 1770 - 1761 - 437 - 765 - 1469 - 448 - 441 - 1144 - 1472 - 2328 - 1786 - 2089 - 1793 - 1171 - 2080 - 474 - 1502 - 485 - 811 - 2098 - 1175 - 115 - 820 - 828 - 1196 - 1185 - 502 - 1809 - 516 - 1521 - 140 - 2099 - 832 - 1516 - 512 - 2121 - 147 - 521 - 530 - 1218 - 855 - 153 - 1839 - 164 - 532 - 1223 - 1537 - 537 - 2143 - 1224 - 2145 - 888 - 180 - 559 - 189 - 2147 - 554 - 183 - 881 ]
270,0,189,[ 1502 - 485 - 2098 - 1175 - 811 - 2340 - 115 - 820 - 828 - 1196 - 1809 - 1185 - 502 - 516 - 1521 - 140 - 2099 - 832 - 1516 - 512 - 2121 - 147 - 521 - 530 - 1218 - 855 - 1839 - 164 - 532 - 1223 - 1537 - 537 - 1236 - 2143 - 1224 - 2145 - 888 - 180 - 559 - 189 - 554 - 2147 - 183 - 881 - 1569 - 193 - 1877 - 2399 - 1873 - 1570 - 901 - 2393 - 580 - 209 - 1584 - 1887 - 1268 - 210 - 2164 - 1581 - 1889 - 917 - 2166 - 2403 - 215 - 2175 - 1595 - 214 - 2416 - 930 - 1286 - 2178 - 936 - 1288 - 1599 - 235 - 1274 - 1603 - 217 - 1912 - 1283 - 2180 - 1621 - 243 - 607 - 1292 - 1917 - 1614 - 958 - 612 - 957 - 1304 - 2203 - 1633 - 287 - 302 - 301 - 2226 - 280 - 2224 - 2205 - 995 - 2230 - 2228 - 307 - 2242 - 1346 - 660 - 1963 - 1345 - 1358 - 1356 - 2486 - 2244 - 346 - 1680 - 1983 - 1033 - 1037 - 2490 - 2246 - 2266 - 684 - 2265 - 2499 - 1382 - 682 - 2501 - 1993 - 681 - 1047 - 2007 - 702 - 1394 - 1049 - 1069 - 2504 - 2016 - 1075 - 2517 - 2277 - 2285 - 2530 - 1719 - 1084 - 1089 - 1099 - 2295 - 2291 - 2537 - 2290 - 1423 - 1118 - 746 - 2547 - 409 - 2300 - 412 - 1756 - 426 - 1450 - 431 - 1446 - 424 - 758 - 1457 - 762 - 2051 - 2565 - 1454 - 1459 - 1770 - 1761 - 437 - 765 - 444 - 1469 - 448 - 441 - 1144 - 1472 - 2328 - 1786 - 1798 - 2089 - 1793 - 1171 - 2080 - 474 ]
300,0,212,[ 2602 - 1502 - 485 - 2601 - 811 - 2098 - 1175 - 2340 - 2598 - 115 - 820 - 828 - 1196 - 1809 - 1185 - 502 - 1205 - 516 - 1521 - 140 - 2099 - 832 - 1516 - 512 - 2121 - 521 - 147 - 530 - 1218 - 855 - 1839 - 164 - 1223 - 1537 - 537 - 1236 - 2655 - 1224 - 2145 - 2644 - 888 - 2662 - 559 - 180 - 189 - 2147 - 554 - 2666 - 183 - 881 - 1569 - 193 - 2399 - 1873 - 1570 - 2672 - 901 - 2393 - 2408 - 209 - 580 - 1584 - 2679 - 1887 - 1268 - 210 - 1581 - 2164 - 1889 - 917 - 2166 - 2403 - 215 - 2175 - 2690 - 1595 - 214 - 2416 - 1286 - 2178 - 936 - 1288 - 1599 - 1274 - 1603 - 217 - 1283 - 2180 - 1912 - 1621 - 2696 - 243 - 607 - 1292 - 1917 - 1614 - 958 - 612 - 957 - 2203 - 2962 - 1633 - 287 - 302 - 983 - 301 - 2226 - 280 - 2733 - 2224 - 2205 - 995 - 2230 - 2228 - 307 - 2242 - 1346 - 660 - 1963 - 1345 - 1359 - 1358 - 1356 - 2486 - 2244 - 346 - 1680 - 1983 - 1033 - 1037 - 2768 - 2490 - 2246 - 2777 - 360 - 2266 - 2265 - 684 - 682 - 2499 - 1382 - 2501 - 1993 - 681 - 3024 - 1047 - 2007 - 2785 - 702 - 2790 - 3029 - 1049 - 1394 - 1069 - 2504 - 1075 - 380 - 2016 - 2517 - 2277 - 2285 - 1719 - 2530 - 1084 - 1099 - 2295 - 2291 - 1423 - 2290 - 2537 - 1118 - 2547 - 746 - 2831 - 409 - 2300 - 412 - 1756 - 426 - 1450 - 431 - 424 - 1446 - 758 - 762 - 1457 - 2852 - 2565 - 1454 - 2851 - 1770 - 1761 - 765 - 437 - 444 - 1469 - 448 - 441 - 1144 - 1479 - 1472 - 2855 - 2328 - 1786 - 2859 - 1798 - 477 - 2089 - 1793 - 1171 - 2080 - 474 ]
